"HP Pavilion 14-CE0000 Series"
"HP Pavilion 14-CF0000 14S-CF0000 Series"
"HP Pavilion 14-CK0000 Series"
"HP Pavilion 14-CM0000 Series"
"HP Pavilion 14-DF0000 Series"
"HP Pavilion X360 14-DH0000 14M-DH0000 Series"
"HP Pavilion 14-DQ0000 Series"
"HP Pavilion 14-DK0000 14S-DK0000 Series"
"HP Pavilion 14-FQ0000 Series"
"HP Pavilion 14Q-CS0000 Series"
"HP Pavilion 15-CS0000 Series"
"HP Pavilion 15-CW0000 Series"
"HP Pavilion 15-CU0000 Series"
"HP Pavilion 15-DA0000 Series"
"HP Pavilion 15-DB0000 Series"
"HP Pavilion 15-DW0000 Series"
"HP Pavilion 15-DY0000 Series"
"HP Pavilon 15-EF0000 Series"
"HP Pavilion 15Q 15S Series"
"HP Pavilion 17-BY0000 Series"
"HP Pavilion 17-CA0000 Series"
"HP Pavilion G Series"
