id,key,text,type,,,,,,,
176,44A,44A,bustSizes,,,,,,,
177,32B,32B,bustSizes,,,,,,,
178,34B,34B,bustSizes,,,,,,,
179,36B,36B,bustSizes,,,,,,,
180,38B,38B,bustSizes,,,,,,,
181,40B,40B,bustSizes,,,,,,,
182,42B,42B,bustSizes,,,,,,,
183,44B,44B,bustSizes,,,,,,,
184,32C,32C,bustSizes,,,,,,,
185,34C,34C,bustSizes,,,,,,,
186,36C,36C,bustSizes,,,,,,,
187,38C,38C,bustSizes,,,,,,,
188,40C,40C,bustSizes,,,,,,,
189,42C,42C,bustSizes,,,,,,,
190,44C,44C,bustSizes,,,,,,,
191,32D,32D,bustSizes,,,,,,,
192,34D,34D,bustSizes,,,,,,,
193,36D,36D,bustSizes,,,,,,,
194,38D,38D,bustSizes,,,,,,,
195,40D,40D,bustSizes,,,,,,,
196,42D,42D,bustSizes,,,,,,,
197,44D,44D,bustSizes,,,,,,,
198,32E,32E (DD),bustSizes,,,,,,,
199,34E,34E (DD),bustSizes,,,,,,,
200,36E,36E (DD),bustSizes,,,,,,,
201,38E,38E (DD),bustSizes,,,,,,,
202,40E,40E (DD),bustSizes,,,,,,,
203,42E,42E (DD),bustSizes,,,,,,,
204,44E,44E (DD),bustSizes,,,,,,,
205,32F,32F (DDD),bustSizes,,,,,,,
206,34F,34F (DDD),bustSizes,,,,,,,
207,36F,36F (DDD),bustSizes,,,,,,,
208,38F,38F (DDD),bustSizes,,,,,,,
209,40F,40F (DDD),bustSizes,,,,,,,
210,42F,42F (DDD),bustSizes,,,,,,,
211,44F,44F (DDD),bustSizes,,,,,,,
212,32G,32G (4D),bustSizes,,,,,,,
213,34G,34G (4D),bustSizes,,,,,,,
214,36G,36G (4D),bustSizes,,,,,,,
215,38G,38G (4D),bustSizes,,,,,,,
216,40G,40G (4D),bustSizes,,,,,,,
217,42G,42G (4D),bustSizes,,,,,,,
218,44G,44G (4D),bustSizes,,,,,,,
219,32H,32H (5D),bustSizes,,,,,,,
220,34H,34H (5D),bustSizes,,,,,,,
221,36H,36H (5D),bustSizes,,,,,,,
222,38H,38H (5D),bustSizes,,,,,,,
223,40H,40H (5D),bustSizes,,,,,,,
224,42H,42H (5D),bustSizes,,,,,,,
225,44H,44H (5D),bustSizes,,,,,,,
226,36S,36S,suitSizes,,,,,,,
227,36R,36R,suitSizes,,,,,,,
228,46S,46S,suitSizes,,,,,,,
229,46R,46R,suitSizes,,,,,,,
230,46L,46L,suitSizes,,,,,,,
231,28A,28A,bustSizes,,,,,,,
232,28B,28B,bustSizes,,,,,,,
233,28C,28C,bustSizes,,,,,,,
234,28D,28D,bustSizes,,,,,,,
235,28E,28E US,bustSizes,,,,,,,
236,28F,28F US,bustSizes,,,,,,,
237,28G,28G US,bustSizes,,,,,,,
238,28H,28H US,bustSizes,,,,,,,
239,28I,28I US,bustSizes,,,,,,,
240,28J,28J US,bustSizes,,,,,,,
241,28K+,28K+ US,bustSizes,,,,,,,
242,30AXXS,30A (XX-Small),bustSizes,,,,,,,
